f54ea170-91f4-40b8-8959-fa47cdb372c8;EMPORIO SHOW ARTE E CAFE;Rua Dimitri Sensaud de Lavoud, 40 - Vila Campesina, Osasco;-23.5427299;-46.7735081
5d350f65-e5c2-4436-ab54-5402086c8298;THAIS DA CRUZ PASSOS   ME;Rua José Jordão Morales, 20 - Bussocaba, Osasco;-23.5632197;-46.78688020000001
226cf04e-be0e-410b-a19d-740f1667fc07;JAKS XAVIER DA SILVA;Rua Maria Quintina dos Santos, 31 - Pestana, Osasco;-23.5412122;-46.7953366
21466056-825a-435f-922e-acf19e4424c7;COM CARNES ALVORADA;Rua Erva de Santa Luzia, 281 - Vila Helena, São Paulo;-23.4903513;-46.4171012
1b2819cb-2aad-4c25-ba08-82f6c641ba6b;RINK NATACAO LTDA - ME;Rua Espírito Santo, 594 - Rochdale, Osasco;-23.5137569;-46.7803701
bba1700b-16e2-4a65-bf83-d7f269f6a46e;COM DE CARNES SIGNO;Avenida Leôncio de Magalhães, 1210 - Jardim São Paulo(Zona Norte), São Paulo;-23.4908272;-46.6184854
5526e6ad-781e-469f-bbd8-2172cd5447c6;RICHARD S;Avenida Franz Voegeli, 300, BL VERDE - Continental, Osasco;-23.5424013;-46.7621324
585b8212-3821-466a-8cb7-42eeab69d1a5;IVONETE GONCALVES DE ANDRADE 008;Rua Vital Brasil, 265 - km 18, Osasco;-23.5300347;-46.8050788
3aebd09f-9125-44ab-b8d3-4e795f3434e4;PANIFICADORA MARIETA LTDA;Avenida São José, 1638 - Ayrosa, Osasco;-23.5126662;-46.7599594
ab687955-34fd-475f-8d87-ceee74053d0b;COMERCIO DE CARNES M S CASTRO AL;Rua Sara Kubitscheck, 342 - Conjunto Habitacional Castro Alves, São Paulo;-23.5815422;-46.4047286
19cf8d6f-1b08-49e0-b067-ce5da5a59aad;BOI BOLADO;Avenida Doutor Eduardo Cotching, 831 - Vila Formosa, São Paulo;-23.5622067;-46.5515808
2b0a6642-452e-4318-8b5d-cd11b073622c;BAR NOVO OSASCO;Avenida Analice Sakatauskas, 750 - Bela Vista, Osasco;-23.5524145;-46.77981459999999
b0e5610c-833b-4e5a-a3be-df0b127570c8;RAINHA DO TATUAPE;Largo Nossa Senhora do Bom Parto, 105 - Vila Gomes Cardim, São Paulo;-23.5482809;-46.5682161
3f7b140e-416b-4799-a9af-4c9edac133d7;EMPORIO DA XV;Rua Castro Alves, 146 - Cipava, Osasco;-23.5536693;-46.7891217
57cad1bc-550d-4ac7-9c62-bec70de971b4;MERCADINHO DO MINEIRO;Rua Herbet de Souza - Betinho, 283 - Portal D'Oeste, Osasco;-23.4891001;-46.799536
977d0ecf-9123-41fa-be63-4ab79f0fd505;BARCELONA DOCES E PAES;Rua Armando Penteado, 33 - Higienópolis, São Paulo;-23.5449437;-46.6614249
f88da939-1496-48c8-9cb6-4f4a0ca0e9bc;PONTO LOJAS DE CONVENI;Rua Dona Primitiva Vianco, 987 - Centro, Osasco;-23.5372405;-46.77568249999999
f3eedb89-9d90-47ab-932a-e0f32bd176da;AVICOLA HANDA;Avenida Morais Costa, 16 - Vila Industrial, São Paulo;-23.6031165;-46.5296326
56c40f59-8078-47a8-a720-e83f10012826;LUCIA;Rua Laís de Sá, 156 - Munhoz Júnior, Osasco;-23.4990361;-46.8106139
a05321e9-ce70-4bea-ad1d-a7093a5baece;CASA DE CARNE STELA;Avenida Santiago Rodilha, 396 - Veloso, Osasco;-23.5585164;-46.8034414
74043ecc-7858-4c10-8f12-3d89d12dc61d;MERCADO FAVORITO;Rua Vitalina Maria de Jesus Schalch, 890 - Jardim São Paulo(Zona Leste), São Paulo;-23.5665468;-46.4024483
7c820d42-2aa5-48a3-96ee-763d33e81575;MERCADO ADALGISA;Avenida Gustavo Berthier, 37 - Adalgisa, Osasco;-23.5631222;-46.7652243
4d5a119f-c11e-42dc-aa39-71f44490b6ac;VISAO AUTO POSTO;Largo Ubirajara, 22 - Belenzinho, São Paulo;-23.5458981;-46.5925564
7a87a588-2f0a-4e94-b9ef-fc469371386d;ARMAZENS IRMAOS MORAIS;Rua Castelo do Piauí, 441 - Itaquera, São Paulo;-23.544931;-46.4591906
4e68cafa-dcf4-4994-8363-8a9a64a8a305;MERCEARIA J.P.;Rua Joaquim Lapas Veiga, 663 - Jardim D'Abril, Osasco;-23.5685157;-46.7816238
f3105ffe-3f1f-4050-8aa2-e582273c93fb;LAGOS ANDINOS;Avenida Miguel Estefno, 2309 - Saúde, São Paulo;-23.6334278;-46.627208
71e0fded-4913-46ce-a1c8-dd78cc3d596e;PANIFICADORA CAMOES;Rua Treze de Maio, 518 - Bela Vista, São Paulo;-23.5576311;-46.6466144
f3f9dc82-46b7-4a09-b189-8c6483d0c822;EMPORIO DO NORTE MEDINA;Avenida João de Andrade, 1480 - Santo Antônio, Osasco;-23.5589171;-46.7998246
64321620-5336-40af-a8d5-ee28ca811204;DOCEIRA HUNGARA;Rua Dona Maria Carolina, 714 - Jardim Paulistano, São Paulo;-23.5684867;-46.6888209
774b70ad-49d5-4381-826b-d6076491508a;SALAMINHO E CIA.;Avenida Presidente Altino, 707 - Jaguaré, São Paulo;-23.5492933;-46.7490078
1b1d0625-88ce-4040-ac8b-5231b80e3070;EMPORIO CALDAS DA RAINHA;Avenida Dom Pedro I, 289 - Vila Osasco, Osasco;-23.5406632;-46.7814458
e0116e23-a10d-4bfa-9401-7b384168e0e7;BIG PRENSADOS;Avenida Benedito Alves Turíbio, 679 - Padroeira, Osasco;-23.5569055;-46.8105156
0c52e352-8e15-47b3-9c4a-f888ace6c7a7;CHICO FRUTAS MORUMBI;Rua Joerg Bruder, 183 - Santo Amaro, São Paulo;-23.6251903;-46.7002464
138389db-5e99-4f95-9a05-52e0576e5569;PALADAR BOM GALETO S;Rua Vinte e Sete de Janeiro, 265 - Novo Osasco, Osasco;-23.5697396;-46.7929608
a7f4121a-237b-4933-a10e-c381556fa5d5;PANIF CONF FLORESTAL;Rua Maria Amália Lopes Azevedo, 611 - Vila Albertina, São Paulo;-23.4582901;-46.6197098
ee0e036e-c1bc-431c-a5af-40d08fe40ed2;CENTER CARNE TO MALUCO;Avenida Ernesto Souza Cruz, 207 - Cidade Antônio Estevão de Carvalho, São Paulo;-23.5267886;-46.4646433
f6ef3ff7-1a15-4be7-b09c-6530b64348b7;PINGO DOCE;Avenida Pavão, 465 - Indianópolis, São Paulo;-23.6043681;-46.67071929999999
643ea58e-ba54-4e90-97a3-cfdf077c1d22;ADEGA E BAR CONTO RIO;Avenida Rio das Pedras, 1296 - Jardim Aricanduva, São Paulo;-23.5662057;-46.511974
ec8d997b-6023-4e1c-aabd-502991fff143;CASA DE CARNES EDNA;Avenida Jaguaribe, 233 - Jaguaribe, Osasco;-23.5580511;-46.7836165
